Time [s],Packet ID,MOSI,MISO
4.953027760000000,0,0x00,
4.953064240000000,0,0x00,
4.973433280000000,1,0x06,
4.973469920000000,1,0x55,
4.973506800000000,1,0x20,
4.973543760000000,1,0x10,
4.973580640000000,1,0x41,
4.975472640000000,2,0x01,
4.975509040000000,2,0x62,
4.975547200000000,3,0x02,
4.975583600000000,3,0x00,
4.975621760000000,4,0x03,
4.975658160000000,4,0x0F,
4.975696320000000,5,0x04,
4.975732800000000,5,0xC0,
4.975771280000000,6,0x07,
4.975807760000000,6,0x00,
4.975845920000000,7,0x08,
4.975882400000000,7,0x00,
4.975920560000000,8,0x09,
4.975957040000000,8,0x04,
4.975995200000000,9,0x0A,
4.976031680000000,9,0x00,
4.976069840000000,10,0x0B,
4.976106240000000,10,0x01,
4.976144400000000,11,0x0C,
4.976180880000000,11,0x01,
4.976219040000000,12,0x0D,
4.976255520000000,12,0x05,
4.976293680000000,13,0x0E,
4.976330160000000,13,0x04,
4.976368320000000,14,0x0F,
4.976404800000000,14,0x50,
4.976442960000000,15,0x10,
4.976479360000000,15,0x9E,
4.976520160000000,16,0x11,
4.976556640000000,16,0x4B,
4.976594800000000,17,0x12,
4.976631280000000,17,0x00,
4.976669360000000,18,0x13,
4.976705840000000,18,0x00,
4.976744000000000,19,0x14,
4.976780480000000,19,0x16,
4.976818640000000,20,0x15,
4.976855120000000,20,0x2B,
4.976893280000000,21,0x16,
4.976929680000000,21,0x12,
4.976967840000000,22,0x17,
4.977004320000000,22,0x00,
4.977042480000000,23,0x18,
4.977078960000000,23,0x62,
4.977117120000000,24,0x19,
4.977153520000000,24,0x80,
4.977191680000000,25,0x1A,
4.977228160000000,25,0x80,
4.977266320000000,26,0x1B,
4.977302800000000,26,0x00,
4.977340960000000,27,0x1C,
4.977377440000000,27,0x0A,
4.977415600000000,28,0x1D,
4.977452080000000,28,0x32,
4.977490240000000,29,0x1E,
4.977529360000000,29,0xC3,
4.977567520000000,30,0x1F,
4.977604000000000,30,0x07,
4.977642160000000,31,0x20,
4.977678640000000,31,0x17,
4.977716800000000,32,0x21,
4.977753280000000,32,0x00,
4.977791440000000,33,0x22,
4.977827840000000,33,0x00,
4.977866400000000,34,0x24,
4.977902880000000,34,0x00,
4.977940960000000,35,0x25,
4.977977440000000,35,0x00,
4.978015520000000,36,0x26,
4.978052000000000,36,0x3B,
4.978090080000000,37,0x27,
4.978126560000000,37,0x00,
4.978164640000000,38,0x28,
4.978201120000000,38,0x17,
4.978239200000000,39,0x29,
4.978275680000000,39,0x47,
4.978313760000000,40,0x2A,
4.978350240000000,40,0x80,
4.978388320000000,41,0x2B,
4.978424800000000,41,0x03,
4.978462880000000,42,0x2C,
4.978499360000000,42,0x01,
4.978540080000000,43,0x2D,
4.978576560000000,43,0x45,
